ROUTER_1,2023-07-08 14:13:03.455665,AGREGADO
ROUTER_2,2023-07-08 14:13:03.456666,AGREGADO
ROUTER_3,2023-07-08 14:13:03.456666,AGREGADO
ROUTER_4,2023-07-08 14:13:03.457666,AGREGADO
ROUTER_5,2023-07-08 14:13:03.458665,AGREGADO
ROUTER_6,2023-07-08 14:13:03.459665,AGREGADO
ROUTER_7,2023-07-08 14:13:03.459665,AGREGADO
ROUTER_8,2023-07-08 14:13:03.460664,AGREGADO
ROUTER_9,2023-07-08 14:13:03.461665,AGREGADO
ROUTER_10,2023-07-08 14:13:03.462666,AGREGADO
ROUTER_11,2023-07-08 14:13:03.462666,AGREGADO
ROUTER_12,2023-07-08 14:13:03.463665,AGREGADO
ROUTER_13,2023-07-08 14:13:03.464665,AGREGADO
ROUTER_1,2023-07-08 14:13:03.464665,ACTIVADO
ROUTER_2,2023-07-08 14:13:03.465665,ACTIVADO
ROUTER_4,2023-07-08 14:13:03.466665,ACTIVADO
ROUTER_5,2023-07-08 14:13:03.466665,ACTIVADO
ROUTER_6,2023-07-08 14:13:03.467665,ACTIVADO
ROUTER_7,2023-07-08 14:13:03.468665,ACTIVADO
ROUTER_8,2023-07-08 14:13:03.468665,INACTIVO
ROUTER_9,2023-07-08 14:13:03.470666,ACTIVADO
ROUTER_10,2023-07-08 14:13:03.470666,ACTIVADO
ROUTER_11,2023-07-08 14:13:03.471666,ACTIVADO
ROUTER_12,2023-07-08 14:13:03.472666,ACTIVADO
ROUTER_3,2023-07-08 14:13:32.666309,EN_RESET
ROUTER_3,2023-07-08 14:13:35.144204,EN_RESET
ROUTER_3,2023-07-08 14:13:35.145202,EN_RESET
ROUTER_3,2023-07-08 14:13:48.282429,ACTIVADO
ROUTER_3,2023-07-08 14:13:48.283429,ACTIVADO
ROUTER_3,2023-07-08 14:13:48.284430,ACTIVADO
